gameID,teamID,season,goals,goals_percent,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
315,71,2015,0,10.79,5,2,11,5,0,1,L
316,78,2015,1,162.4,14,3,11,5,3,0,L
316,73,2015,2,117.43,8,4,15,3,4,0,W
317,89,2015,3,245.27,15,5,13,2,2,0,W
317,85,2015,0,35.09,10,0,13,5,1,0,L
318,76,2015,1,230.65,17,7,12,7,0,0,D
318,84,2015,1,117.93,18,4,13,7,0,0,D
319,72,2015,3,248.45,18,7,8,3,1,0,W
319,86,2015,0,62.62,7,3,15,3,2,1,L
320,90,2015,0,53.14,12,3,10,7,2,0,D
320,80,2015,0,113.69,12,4,13,7,1,0,D
321,88,2015,1,170.72,22,4,9,11,2,0,L
321,75,2015,3,250.17,14,7,15,4,2,0,W
322,86,2015,1,241.06,19,7,12,8,0,0,W
322,76,2015,0,47.26,7,0,12,4,3,0,L
323,85,2015,0,69.35,12,3,11,6,1,0,L
323,72,2015,3,305.91,14,6,8,4,0,0,W
324,82,2015,1,200.48,25,8,12,15,0,0,W
324,90,2015,0,14.98,3,0,9,1,1,0,L
325,84,2015,1,132.14,18,3,11,9,1,0,D
325,78,2015,1,101.47,12,2,14,5,2,0,D
326,71,2015,2,91.83,10,2,10,2,0,0,W
326,79,2015,0,114.13,13,5,11,11,2,0,L
327,87,2015,2,157.71,16,5,4,7,1,0,D
327,77,2015,2,49.18,7,2,12,2,1,0,D
328,74,2015,1,106.49,8,2,17,4,1,1,W
328,81,2015,0,97.06,18,2,10,5,2,0,L
329,73,2015,0,58.43,17,4,6,7,0,0,L
329,83,2015,2,113.96,10,5,8,3,1,0,W
330,80,2015,1,161.55,16,5,6,10,0,0,D
330,89,2015,1,78.05,17,7,9,11,3,0,D
331,77,2015,2,148.19,21,5,7,6,2,0,W
331,89,2015,1,90.83,12,6,15,8,3,0,L
332,84,2015,0,69.9,13,2,10,5,0,0,L
332,74,2015,1,119.35,14,5,12,4,3,0,W
333,79,2015,2,103.36,13,3,16,3,2,0,D
333,81,2015,2,74.14,11,6,11,3,2,0,D
334,72,2015,0,182.91,33,6,9,14,1,0,L
334,76,2015,1,119.74,5,1,12,1,3,0,W
335,78,2015,1,98.39,15,5,11,8,0,0,L
